S0,K,T,r,sigma,steps,binomial_price
70,100,0.25,0.02,0.15,100,30.0
70,100,0.25,0.02,0.25,100,30.0
70,100,0.25,0.02,0.4,100,30.05592948909328
70,100,0.25,0.05,0.15,100,30.0
70,100,0.25,0.05,0.25,100,30.0
70,100,0.25,0.05,0.4,100,30.0
70,100,0.5,0.02,0.15,100,30.0
70,100,0.5,0.02,0.25,100,30.0
70,100,0.5,0.02,0.4,100,30.648058702369912
70,100,0.5,0.05,0.15,100,30.0
70,100,0.5,0.05,0.25,100,30.0
70,100,0.5,0.05,0.4,100,30.19525641529303
70,100,1.0,0.02,0.15,100,30.0
70,100,1.0,0.02,0.25,100,30.047369884112822
70,100,1.0,0.02,0.4,100,32.29022153820274
70,100,1.0,0.05,0.15,100,30.0
70,100,1.0,0.05,0.25,100,30.0
70,100,1.0,0.05,0.4,100,31.167568679898743
70,100,2.0,0.02,0.15,100,30.0
70,100,2.0,0.02,0.25,100,30.67673947590067
70,100,2.0,0.02,0.4,100,35.2823173233977
70,100,2.0,0.05,0.15,100,30.0
70,100,2.0,0.05,0.25,100,30.0
70,100,2.0,0.05,0.4,100,33.048074927593674
80,100,0.25,0.02,0.15,100,20.0
80,100,0.25,0.02,0.25,100,20.00930772908251
80,100,0.25,0.02,0.4,100,20.899080580463618
80,100,0.25,0.05,0.15,100,20.0
80,100,0.25,0.05,0.25,100,20.0
80,100,0.25,0.05,0.4,100,20.56945149379886
80,100,0.5,0.02,0.15,100,20.0
80,100,0.5,0.02,0.25,100,20.308268116218898
80,100,0.5,0.02,0.4,100,22.486079904357695
80,100,0.5,0.05,0.15,100,20.0
80,100,0.5,0.05,0.25,100,20.012689180410117
80,100,0.5,0.05,0.4,100,21.795311686228867
80,100,1.0,0.02,0.15,100,20.0
80,100,1.0,0.02,0.25,100,21.25568690555667
80,100,1.0,0.02,0.4,100,25.272244380330807
80,100,1.0,0.05,0.15,100,20.0
80,100,1.0,0.05,0.25,100,20.363958357224497
